"sos","eos","los","pop","mgs","rsp","rau","peak","msp","mau","sensornode","year"
167,253,86,201,0.393596407730435,0.00320273837637591,-0.00197368141972543,0.401840679699354,0.367068791377321,0.366504716791875,"9","2021"
158,256,98,185,0.390395306228285,0.0034181585026915,-0.00121164389115075,0.393300136121871,0.37520346089329,0.374307389366934,"10","2017"
156,237,81,186,0.39361850429941,0.00159382369662103,-0.000880015443040894,0.399176384303078,0.380799509789873,0.379003864512793,"10","2018"
174,248,74,205,0.39078483697565,0.00129522959872463,-0.000853380351750033,0.396967467777217,0.378118897867451,0.377534588286073,"10","2019"
155,239,84,189,0.382575827558345,0.000970776131684337,-0.000600429979573269,0.38648586023807,0.373481995713693,0.372605207921833,"10","2020"
166,250,84,185,0.445413724839319,0.0115377856908053,-0.00281472487684686,0.457458563153568,0.403782230966811,0.399470319784241,"11","2017"
157,222,65,178,0.43221189079581,0.00462741697947444,-0.001705614171022,0.448084048814218,0.403832470443052,0.40184831623573,"11","2018"
180,240,60,209,0.426675157050087,0.00298872844008402,-0.00299426469438174,0.44067273216167,0.398458515441403,0.395025523428387,"11","2019"
160,228,68,186,0.414136859684322,0.00330222119268681,-0.00190964509281077,0.424934640229607,0.390540958391526,0.387118759671441,"11","2020"
165,239,74,183,0.420537324549033,0.00802648031403402,-0.00225778883930583,0.429193766561554,0.391057098969924,0.388709851343688,"11","2021"
181,249,68,203,0.412839609271631,0.00555186735216456,-0.00211291720494411,0.428393367792802,0.380325466567923,0.377780200138668,"12","2017"
161,231,70,183,0.401123941412734,0.00503649889255592,-0.00202031106922951,0.412354772431746,0.373864906880158,0.370491484987596,"12","2018"
193,243,50,213,0.400287924006029,0.00418865447849981,-0.00262500799008764,0.413151591607961,0.3747695111253,0.372160858427944,"12","2019"
171,236,65,196,0.390726391508639,0.0030620006865702,-0.00161290916776835,0.402778487050767,0.366387252965626,0.366743081517925,"12","2020"
169,242,73,193,0.381830654951764,0.00327491370754879,-0.00135572692495639,0.391020140308423,0.360371934023534,0.359756500000968,"12","2021"
179,249,70,211,0.46809692989861,0.00340932657598869,-0.00285788522251168,0.485470369169005,0.432550294316049,0.42998992445869,"13","2017"
173,220,47,193,0.478085197674352,0.00424903352172612,-0.00232186662594602,0.495159518052428,0.445847886014748,0.45235833968097,"13","2018"
195,252,57,219,0.453463002711608,0.00350009162141912,-0.00235189701939448,0.467661541382702,0.426119861755518,0.424678168451306,"13","2019"
187,241,54,210,0.459016308382103,0.00339381449777998,-0.00215294448911252,0.474638587900808,0.430857001839599,0.43220197883033,"13","2020"
183,248,65,211,0.455432427398539,0.00337820523511451,-0.00239302404531638,0.470154081805698,0.425213964742593,0.423992841165323,"13","2021"
159,225,66,177,0.405179033210862,0.00317909124449767,-0.000572728245329335,0.413961924536069,0.386657264103294,0.392967446509566,"14","2017"
156,206,50,174,0.403818446660867,0.00256319923331971,-0.000761411712826621,0.411379150656465,0.387940140967199,0.393237632926587,"14","2018"
179,237,58,198,0.398196215361077,0.00218786036766033,-0.000759443846838292,0.405339198661298,0.384916991896557,0.385964375991778,"14","2019"
155,220,65,178,0.388373190151643,0.00123509190121301,-0.000423636508479652,0.393363529891413,0.378948904218842,0.380564131429261,"14","2020"
167,235,68,190,0.392526502013103,0.00186129284385894,-0.000754757970976072,0.39854757361301,0.380163059369458,0.379969551682935,"14","2021"
176,257,81,198,0.445344001459938,0.0101811621141192,-0.00345320289134321,0.452477431475597,0.410064056778775,0.405859976460587,"15","2017"
164,241,77,190,0.431875305641821,0.00364705423702122,-0.00156917944969853,0.443021582477808,0.40735756951415,0.404335852218148,"15","2018"
193,258,65,217,0.432810927766593,0.00342976290242952,-0.00173801495920839,0.445641751990783,0.40748310649775,0.406315968064863,"15","2019"
176,253,77,206,0.41289668803053,0.00193224977464013,-0.00108122858067539,0.421311525949882,0.395638159175421,0.394461094631178,"15","2020"
175,251,76,206,0.424101418952576,0.00238099519429419,-0.00151355122434504,0.434750256528421,0.401394590968011,0.400244036179484,"15","2021"
181,256,75,208,0.400612707637305,0.0033342689960294,-0.00164448534506856,0.409619591156298,0.377921486484769,0.375808149267579,"16","2017"
167,233,66,184,0.398027108049159,0.00498206329765266,-0.00155783688564842,0.405494355900881,0.378845780638687,0.375387553202341,"16","2018"
193,246,53,214,0.404120494628996,0.00287483638813929,-0.0015984033672749,0.414833497123601,0.384362178011203,0.384022020634587,"16","2019"
176,236,60,197,0.394043564737585,0.00275165667418364,-0.00115568528421245,0.40324234220216,0.376452658942855,0.376415580793256,"16","2020"
174,242,68,196,0.40118167071181,0.00377762515829511,-0.00144149314351877,0.41037292388216,0.379633554760111,0.378925306312903,"16","2021"
165,256,91,193,0.443156910376276,0.00587359104002433,-0.00228107636937125,0.454912659511411,0.406157736089048,0.404012273513292,"17","2017"
157,257,100,192,0.441583030814475,0.00662571708772364,-0.00343344117290445,0.448683488848334,0.403723674267067,0.400570071860618,"17","2018"
182,271,89,208,0.428091131801486,0.008732020277541,-0.00330684675986037,0.433446447124525,0.39531227295011,0.393685261686933,"17","2019"
163,257,94,201,0.419460535506956,0.00318788962961375,-0.00203708312873402,0.427289092581396,0.392147758243269,0.390704753263548,"17","2020"
165,260,95,185,0.42875852979479,0.0081979087056272,-0.00182469265793361,0.437127075872091,0.396803699937852,0.396141321684896,"17","2021"
191,244,53,209,0.433990394828233,0.00501701505185637,-0.00199120267764813,0.449488785338338,0.407687417098654,0.40484443911902,"19","2017"
164,226,62,185,0.438327038517624,0.00683849637900169,-0.0029842004021427,0.45151546173413,0.403214827483473,0.401346901116239,"19","2018"
191,247,56,208,0.444662244364061,0.00781807895893766,-0.00310839965635112,0.459570352426797,0.411000276844843,0.405390665266167,"19","2019"
180,239,59,201,0.435753157832175,0.0043829732995283,-0.00189339470732308,0.452060011402168,0.405764538299179,0.40661762699754,"19","2020"
177,241,64,204,0.439733671159601,0.00388801437396408,-0.00256190344668245,0.455081942332202,0.407871872978645,0.405944275200724,"19","2021"
170,247,77,201,0.414860573863619,0.00317744592661906,-0.00203235252291573,0.424292660554878,0.38882016150836,0.387698210442218,"20","2017"
163,231,68,184,0.404053183717932,0.00367832028101001,-0.0014023685285095,0.412327411941966,0.384284065918845,0.382799588959364,"20","2018"
187,244,57,208,0.428333195354917,0.00374393963993208,-0.0017446411058753,0.442841243015929,0.402092223935224,0.402719708279966,"20","2019"
168,222,54,190,0.392797593222151,0.00166707896117041,-0.000736548489101652,0.399570013073269,0.379774529948532,0.382623996372067,"20","2020"
173,241,68,199,0.407562308045101,0.00311552243041668,-0.00169376526431431,0.416977394725657,0.384661443567038,0.384607358753352,"20","2021"
166,248,82,201,0.406216191538857,0.00215193430300842,-0.0015709688692227,0.415976748350431,0.384166942511027,0.381869909700411,"21","2017"
156,227,71,187,0.409770731469694,0.00285305092264188,-0.00221551728316777,0.419233929894074,0.385800844754035,0.383049764991731,"21","2018"
180,244,64,206,0.393259709296887,0.00196109795985872,-0.00113378502031197,0.402171740183137,0.376986713937789,0.376048271060524,"21","2019"
166,233,67,194,0.389954095547112,0.0014414000871934,-0.000955970866795219,0.397495897081492,0.376543759731602,0.375227922165151,"21","2020"
174,241,67,199,0.406861330151021,0.00276824961807531,-0.00145067255087017,0.417867598418048,0.385961726276988,0.383825953284276,"21","2021"
